service_date,station_name,gated_entries
2018-01-12,Boylston,4653.0
2018-01-12,Braintree,3703.0
2018-01-12,Broadway,5721.0
2018-01-12,Central,13616.0
2018-01-12,Charles/MGH,9872.0
2018-01-12,Chinatown,5896.0
2018-01-12,Community College,2856.0
2018-01-12,Copley,11027.0
2018-01-12,Courthouse,2136.0
2018-01-12,Davis,11003.0
2018-01-12,Downtown Crossing,23041.0
2018-01-12,Fields Corner,4746.0
2018-01-12,Forest Hills,12694.0
2018-01-12,Government Center,6523.0
2018-01-12,Green Street,2849.0
2018-01-12,Harvard,17221.0
2018-01-12,Haymarket,11210.0
2018-01-12,Hynes Convention Center,6063.0
2018-01-12,JFK/UMass,5779.0
2018-01-12,Jackson Square,4785.0
2018-01-12,Kendall/MIT,15224.0
2018-01-12,Kenmore,6432.0
2018-01-12,Lechmere,5370.0
2018-01-12,Malden Center,10435.0
2018-01-12,Massachusetts Avenue,5627.0
2018-01-12,Maverick,10303.0
2018-01-12,North Quincy,7955.0
2018-01-12,North Station,13220.0
2018-01-12,Oak Grove,6105.0
2018-01-12,Orient Heights,3453.0
2018-01-12,Park Street,14996.0
2018-01-12,Porter,7803.0
2018-01-12,Prudential,3469.0
2018-01-12,Quincy Adams,4095.0
2018-01-12,Quincy Center,7571.0
2018-01-12,Revere Beach,2709.0
2018-01-12,Riverside,1252.0
2018-01-12,Roxbury Crossing,4773.0
2018-01-12,Ruggles,10035.0
2018-01-12,Savin Hill,2283.0
2018-01-12,Science Park,784.0
2018-01-12,Shawmut,2120.0
2018-01-12,South Station,23094.0
2018-01-12,State Street,13585.0
2018-01-12,Stony Brook,3315.0
2018-01-12,Suffolk Downs,394.0
2018-01-12,Sullivan Square,8060.0
2018-01-12,Symphony,1814.0
2018-01-12,Tufts Medical Center,6192.0
2018-01-12,Wellington,6355.0
2018-01-12,Wonderland,6250.0
2018-01-12,Wood Island,1890.0
2018-01-12,World Trade Center,1199.0
2018-01-13,Airport,4381.0
2018-01-13,Alewife,4028.0
2018-01-13,Andrew,2606.0
2018-01-13,Aquarium,2753.0
2018-01-13,Arlington,3125.0
2018-01-13,Ashmont,3914.0
2018-01-13,Assembly,1802.0
2018-01-13,Back Bay,6308.0
2018-01-13,Beachmont,1321.0
2018-01-13,Bowdoin,554.0
2018-01-13,Boylston,3864.0
2018-01-13,Braintree,1711.0
